Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/apartment/for-rent/bilzen/3740/11389391,1.0,2,2014.0,tongeren,non_flood_zone,0.0,0.0,0.0,installed,93.0,bilzen,0.0,2.0,B,3740,800,11389391,limburg,flanders,0.0,0.0,good,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/anderlecht/1070/11389361,1.0,2,0.0,brussels,null,0.0,0.0,0.0,installed,85.0,anderlecht,50.0,2.0,D,1070,1200,11389361,brussels,brussels,0.0,0.0,as_new,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/charleroi/6000/11389364,2.0,1,0.0,charleroi,non_flood_zone,0.0,0.0,0.0,not_installed,42.0,charleroi,175.0,2.0,F,6000,450,11389364,hainaut,wallonie,0.0,2.0,good,flat_studio,0.0,0.0,0.0,2.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/meux/5081/11394769,1.0,4,1995.0,namur,null,0.0,0.0,0.0,installed,207.0,meux,0.0,4.0,B,5081,1490,11394769,namur,wallonie,0.0,1.0,null,apartment,0.0,0.0,1.0,2.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/tournai/7500/11394727,1.0,1,0.0,tournai,null,0.0,0.0,0.0,null,51.0,tournai,50.0,0.0,C,7500,585,11394727,hainaut,wallonie,0.0,0.0,just_renovated,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/knokke/8300/11394708,1.0,2,0.0,brugge,non_flood_zone,0.0,0.0,0.0,null,84.0,knokke,0.0,0.0,B,8300,1150,11394708,west_flanders,flanders,1.0,0.0,as_new,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/ixelles/1050/11436617,1.0,0,1976.0,brussels,non_flood_zone,0.0,0.0,0.0,hyper_equipped,58.0,ixelles,200.0,2.0,E,1050,1050,11436617,brussels,brussels,0.0,1.0,just_renovated,flat_studio,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/dendermonde/9200/11436578,1.0,2,0.0,dendermonde,null,0.0,0.0,0.0,semi_equipped,105.0,dendermonde,0.0,2.0,B,9200,790,11436578,east_flanders,flanders,0.0,0.0,null,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/uccle/1180/11436552,2.0,5,1950.0,brussels,non_flood_zone,0.0,1.0,390.0,hyper_equipped,326.0,uccle,750.0,2.0,D,1180,3400,11436552,brussels,brussels,0.0,1.0,as_new,apartment,0.0,0.0,1.0,4.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/etterbeek/1040/11436533,1.0,2,2009.0,brussels,null,0.0,0.0,0.0,hyper_equipped,93.0,etterbeek,150.0,2.0,C,1040,1700,11436533,brussels,brussels,0.0,1.0,as_new,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/leefdaal/3061/11389272,2.0,3,2024.0,leuven,null,0.0,0.0,0.0,hyper_equipped,148.0,leefdaal,0.0,0.0,NULL,3061,1400,11389272,flemish_brabant,flanders,13.0,0.0,good,apartment,0.0,0.0,1.0,2.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/loonbeek/3040/11389270,1.0,2,0.0,leuven,null,0.0,0.0,0.0,hyper_equipped,65.0,loonbeek,0.0,0.0,C,3040,745,11389270,flemish_brabant,flanders,9.0,0.0,good,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/oudenaarde/9700/11389243,1.0,2,0.0,oudenaarde,non_flood_zone,0.0,0.0,0.0,null,120.0,oudenaarde,75.0,0.0,C,9700,1100,11389243,east_flanders,flanders,13.0,0.0,good,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/grimbergen/1850/11389024,1.0,2,2020.0,halle-vilvoorde,possible_flood_zone,0.0,0.0,0.0,hyper_equipped,106.0,grimbergen,0.0,2.0,A,1850,1175,11389024,flemish_brabant,flanders,0.0,0.0,good,apartment,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/uccle/1180/11436451,1.0,2,0.0,brussels,null,0.0,0.0,0.0,installed,95.0,uccle,300.0,4.0,NULL,1180,1250,11436451,brussels,brussels,0.0,0.0,null,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/bruxelles/1000/11436428,0.0,2,0.0,brussels,null,0.0,0.0,0.0,installed,80.0,bruxelles,0.0,0.0,D,1000,1300,11436428,brussels,brussels,0.0,2.0,null,apartment,0.0,0.0,1.0,2.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/schaarbeek/1030/11436406,1.0,1,1900.0,brussels,null,0.0,0.0,0.0,null,72.0,schaarbeek,35.0,2.0,E,1030,915,11436406,brussels,brussels,1.0,0.0,good,apartment,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/tintigny/6730/11436368,1.0,0,0.0,virton,null,0.0,0.0,0.0,null,29.0,tintigny,60.0,0.0,E,6730,410,11436368,luxembourg,wallonie,0.0,0.0,null,flat_studio,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/florenville/6820/11388968,0.0,2,0.0,virton,null,0.0,0.0,0.0,installed,75.0,florenville,0.0,3.0,F,6820,550,11388968,luxembourg,wallonie,5.0,1.0,good,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/zaventem-sint-stevens-woluwe/1932/11388956,1.0,2,2007.0,halle-vilvoorde,null,0.0,0.0,0.0,hyper_equipped,82.0,zaventem_sint-stevens-woluwe,100.0,4.0,A,1932,1000,11388956,flemish_brabant,flanders,0.0,1.0,as_new,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/liege/4000/11436299,1.0,2,0.0,liège,non_flood_zone,0.0,0.0,0.0,usa_hyper_equipped,110.0,liège,70.0,2.0,D,4000,850,11436299,liège,wallonie,4.0,0.0,as_new,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
